,lane_ID,id,parent_id,time_sec,length_um,gfp_nb
710,20190515.0.10,41,38,20880,2.1833500000000003,17407.664045640002
711,20190515.0.10,41,38,21060,2.25225,17885.88809766
712,20190515.0.10,41,38,21240,2.3673,18306.3385395
713,20190515.0.10,41,38,21420,2.42775,19422.45614826
714,20190515.0.10,41,38,21600,2.55125,20167.88822334
715,20190515.0.10,41,38,21780,2.61885,21394.16356968
716,20190515.0.10,41,38,21960,2.75015,22626.2747898
717,20190515.0.10,41,38,22140,2.873,24405.72933546
718,20190515.0.10,41,38,22320,2.93995,25706.213111700003
719,20190515.0.10,41,38,22500,3.1278,27976.22991306
720,20190515.0.10,41,38,22680,3.20385,28911.1612086
721,20190515.0.10,41,38,22860,3.45345,31061.76794622
722,20190515.0.10,42,39,20880,2.09105,18379.46425194
723,20190515.0.10,42,39,21060,2.145,19423.19831364
724,20190515.0.10,42,39,21240,2.23795,19779.299573220003
725,20190515.0.10,42,39,21420,2.2399,20712.23806014
726,20190515.0.10,42,39,21600,2.3049,21691.59112296
727,20190515.0.10,42,39,21780,2.4342500000000005,23382.63464724
728,20190515.0.10,42,39,21960,2.54605,24666.5811447
729,20190515.0.10,42,39,22140,2.60975,25868.495058120003
730,20190515.0.10,42,39,22320,2.6182000000000003,26646.243475500003
731,20190515.0.10,42,39,22500,2.7417,28034.75477682
732,20190515.0.10,42,39,22680,2.8717,29220.423819840005
733,20190515.0.10,42,39,22860,2.99845,30733.6818987
734,20190515.0.10,42,39,23040,3.07645,32644.45154322
735,20190515.0.10,42,39,23220,3.185,33891.20898966
736,20190515.0.10,42,39,23400,3.32475,37219.42420218
737,20190515.0.10,42,39,23580,3.38,38778.64839486
738,20190515.0.10,46,41,23040,1.82,16969.66840008
739,20190515.0.10,46,41,23220,1.86225,17008.804179180002
740,20190515.0.10,46,41,23400,1.91035,18931.12364286
741,20190515.0.10,46,41,23580,1.9266,18724.29135984
742,20190515.0.10,46,41,23760,1.9825,20559.79015002
743,20190515.0.10,46,41,23940,2.0449,21601.47674322
744,20190515.0.10,46,41,24120,2.0566,21723.09958962
745,20190515.0.10,46,41,24300,2.1183500000000004,22734.40024152
746,20190515.0.10,46,41,24480,2.2399,23657.337053460004
747,20190515.0.10,46,41,24660,2.3049,24576.1387641
748,20190515.0.10,46,41,24840,2.36405,25049.63773224
749,20190515.0.10,46,41,25020,2.42645,25958.57418792
750,20190515.0.10,46,41,25200,2.4973,27203.45377464
751,20190515.0.10,46,41,25380,2.67605,28705.31655156
752,20190515.0.10,46,41,25560,2.8145,29865.884938560004
753,20190515.0.10,46,41,25740,2.9432,30937.8183543
754,20190515.0.10,46,41,25920,3.0108,31505.044528980005
755,20190515.0.10,46,41,26100,3.081,32014.15179534
756,20190515.0.10,46,41,26280,3.2656,33708.93277752
757,20190515.0.10,46,41,26460,3.3969,34547.15218086
758,20190515.0.10,46,41,26640,3.5236500000000004,36300.45626064001
759,20190515.0.10,48,40,23400,1.95,12552.666859260002
760,20190515.0.10,48,40,23580,2.145,14289.320925000002
